sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,selector_anchor_mse_cost,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
n3dv,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,30.2620931976309,30.429613143857733,0.16751994622683242,30.150854934349642,30.377006861755877,0.22615192740623513,30.579916807005898,30.579916807005898,0.0,0.8999017793455242,0.9074298871888055,0.8986136794090271,0.9087766249974568,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,dense_anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,7,4.0,2 2 3 4 4 5 6 5 4 4 4 4 3 7 4 3 4 5 4 3,0 2 4 7 11 15 20 26 31 35 39 43 47 50 57 61 64 68 73 77 80,0.008043914425797993,30.322777952593047,30.49576570463927,0.17298775204622174,30.225727955052434,30.45926142031483,0.23353346526239704,30.60006365985192,30.60006365985192,0.0,0.9004396553392764,0.907992101745841,0.8993032495180766,0.9094990521669388,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,29.759978379903007,29.938123059399317,0.17814467949630952,29.63093140939672,29.837070252813888,0.20613884341716826,30.5811863740339,30.5811863740339,0.0,0.8947084362124219,0.9034850590022994,0.8933116836207253,0.9034674899918692,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,dense_anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,14,8.0,3 6 14 10 9 8 9 8 8 5,0 3 9 23 33 42 50 59 67 75 80,0.01544372915122949,29.910126263096668,30.094384071702454,0.18425780860578556,29.800595132237323,30.013807739338304,0.21321260710098144,30.607142550383433,30.607142550383433,0.0,0.8959118510469978,0.9046825067496594,0.8946664503642491,0.9048153519630432,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
n3dv,dense_anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,22,16.0,9 14 14 22 21,0 9 23 37 59 80,0.025442706304602325,29.265387109734924,29.449763212544394,0.1843761028094697,29.158443628620812,29.357569819655044,0.19912619103423168,30.602180623661265,30.602180623661265,0.0,0.8891758808383236,0.8987261020107034,0.8880088480313619,0.8983230868975322,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,dense_anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,3 4 4 4 4 4 3 4 6 5 4 4 5 4 3 3 4 4 4 4,0 3 7 11 15 19 23 26 30 36 41 45 49 54 58 61 64 68 72 76 80,0.03318307844165247,29.630434112967528,29.728229001855016,0.09779488888748844,28.97161025858311,29.103633358581227,0.13202309999811845,31.51278798263726,31.51278798263726,0.0,0.8994844342455451,0.9104618739198755,0.8939940909544627,0.9088136345148087,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,27.836636201042285,27.920280841013945,0.08364463997165927,27.26623587446192,27.36302467214341,0.09678879768149073,31.466456461099163,31.466456461099163,0.0,0.8845061792267693,0.897264685159848,0.8798230818339756,0.8945864958422525,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,dense_anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,10,8.0,6 9 7 9 7 9 8 6 10 9,0 6 15 22 31 38 47 55 61 71 80,0.059029780357377604,27.992875398835185,28.08377711318292,0.09090171434773353,27.436050842457554,27.54123711191707,0.10518626945951581,31.5363043939656,31.5363043939656,0.0,0.8856872901504422,0.8983653643984854,0.881015477010182,0.8956858200686318,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
